1 1:1 2:0.0676651 3:0.87267 4:1 5:0 6:0.857143 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:1 13:0.484914 14:1 
0 1:1 2:0.14742 3:0.0198334 4:0.5 5:0.538462 6:0.428571 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.387931 14:0 
1 1:1 2:0.341393 3:0.357001 4:0 5:0.615385 6:1 7:0.35 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.165948 14:0 
0 1:-1e-100 2:0.56983 3:0.0396668 4:0.5 5:0.769231 6:0.428571 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.283405 14:0 
0 1:-1e-100 2:0.177373 3:0.0232051 4:0 5:0 6:0 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.12931 14:0.00087 
0 1:-1e-100 2:0.0752436 3:0.0214201 4:0.5 5:0.538462 6:0.428571 7:0.116667 8:-1e-100 9:1 10:0.0434783 11:1 12:0.5 13:0.0862069 14:5e-05 
0 1:1 2:0.347348 3:0.099167 4:0 5:0.615385 6:0.428571 7:0.466667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.301724 14:0 
0 1:-1e-100 2:0.160953 3:0.0132884 4:0.5 5:0.769231 6:0.428571 7:0.05 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.172414 14:0 
0 1:1 2:0.377481 3:0.0428401 4:0.5 5:0.461538 6:0.428571 7:0.0776667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.0301724 14:0 
1 1:1 2:0.287261 3:0.0561285 4:0.5 5:0.615385 6:1 7:0.05 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.258621 14:0.001 
0 1:1 2:0.326236 3:0.099167 4:0.5 5:0.384615 6:0.428571 7:0.5 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.563578 14:0 
1 1:-1e-100 2:0.124865 3:0.0727886 4:0.5 5:0.769231 6:0.428571 7:0.139 8:1 9:1 10:0.217391 11:-1e-100 12:0.5 13:0.237069 14:0.02503 
0 1:1 2:0.360881 3:0.109084 4:0.5 5:0.153846 6:0.571429 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.193966 14:0 
1 1:1 2:0.150307 3:0.0329234 4:0.5 5:0.538462 6:1 7:0.144333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.137931 14:0 
1 1:-1e-100 2:0.391014 3:0.476002 4:0.5 5:0.769231 6:1 7:0.933333 8:1 9:1 10:0.347826 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.0659 
1 1:1 2:0.32786 3:0.176914 4:0.5 5:0.923077 6:1 7:0.402667 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:0.335129 14:0.003 
0 1:-1e-100 2:0.160953 3:0.0313368 4:0.5 5:0.153846 6:0.428571 7:0.00566667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.155172 14:0 
0 1:1 2:0.233129 3:0.57854 4:0.5 5:0.153846 6:0.571429 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.19181 14:0 
1 1:1 2:0.545832 3:0.0793336 4:0.5 5:0.461538 6:0.428571 7:0.116667 8:1 9:1 10:0.0869565 11:1 12:0.5 13:-1.07759e-103 14:0.00015 
0 1:1 2:0.296283 3:0.0430385 4:0 5:0.538462 6:0.428571 7:0.00266667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.18319 14:0.00179 
0 1:1 2:0.433057 3:0.277668 4:0.5 5:0.769231 6:1 7:0.766667 8:1 9:1 10:0.304348 11:1 12:0.5 13:0.323276 14:5e-05 
0 1:1 2:0.0600866 3:0.00337168 4:0 5:0.538462 6:0.428571 7:0.00266667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.150862 14:0.00722 
0 1:1 2:0.639119 3:0.090837 4:0.5 5:0 6:0 7:0.0193333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.215517 14:3e-05 
0 1:1 2:0.165464 3:0.00674336 4:0.5 5:0.461538 6:0.428571 7:0.00566667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:-1.07759e-103 14:0 
0 1:-1e-100 2:0.380368 3:0.0495835 4:0 5:0.153846 6:1 7:0.0333333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.172414 14:0 
0 1:1 2:0.550343 3:0.436335 4:0 5:0.0769231 6:0.428571 7:0.1 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:-1.07759e-103 14:0 
1 1:1 2:0.825514 3:0.109084 4:0.5 5:0.615385 6:0.428571 7:0.116667 8:1 9:1 10:0.217391 11:1 12:0.5 13:0.0646552 14:0.00058 
1 1:1 2:0.212017 3:0.0148751 4:0.5 5:0.461538 6:0.428571 7:0.0166667 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:0.280172 14:0.15108 
0 1:-1e-100 2:0.502165 3:0.0412535 4:0.5 5:0.384615 6:0.428571 7:0.0443333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.258621 14:0.00237 
0 1:1 2:0.646518 3:0.753669 4:0.5 5:0 6:0 7:-6.66667e-102 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.101293 14:0 
0 1:-1e-100 2:0.363948 3:0.0628719 4:0 5:0 6:0 7:-6.66667e-102 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.344828 14:0 
0 1:1 2:0.0977986 3:0.158667 4:0 5:0.153846 6:0.428571 7:0.0666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.387931 14:0.01 
0 1:-1e-100 2:0.193973 3:0.0957953 4:0 5:0.538462 6:0.428571 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.12931 14:0 
1 1:1 2:0.172862 3:0.0595002 4:0.5 5:0.538462 6:1 7:0.0943333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.454741 14:0.002 
0 1:1 2:1 3:0.357001 4:0.5 5:0 6:0 7:0.266667 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.075431 14:6e-05 
1 1:1 2:0.612053 3:0.0115034 4:0.5 5:0.538462 6:0.571429 7:1 8:1 9:1 10:0.869565 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.15 
0 1:-1e-100 2:0.351859 3:0.099167 4:0 5:0.538462 6:0.428571 7:0.166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:2e-05 
1 1:1 2:0.532299 3:0.119 4:0.5 5:0.769231 6:1 7:0.4 8:1 9:1 10:0.478261 11:-1e-100 12:0.5 13:0.0862069 14:0 
0 1:1 2:0.166907 3:0.0247918 4:0 5:0.384615 6:0.428571 7:0.00833333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.193966 14:1e-05 
0 1:1 2:0.378925 3:0.099167 4:0.5 5:0.923077 6:0.571429 7:0.0333333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.375 14:0 
1 1:1 2:0.772826 3:0.733836 4:0.5 5:0.0769231 6:0.571429 7:1 8:1 9:1 10:0.73913 11:1 12:0.5 13:-1.07759e-103 14:0 
1 1:-1e-100 2:0.548899 3:0.264379 4:0.5 5:0.769231 6:0.428571 7:0.491667 8:1 9:1 10:0.130435 11:1 12:0.5 13:-1.07759e-103 14:0 
1 1:-1e-100 2:0.551786 3:-3.96668e-102 4:0.5 5:0.538462 6:0.428571 7:0.166667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:1 2:0.369903 3:0.0694169 4:0.5 5:0.615385 6:0.571429 7:0.0166667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.175647 14:0 
0 1:-1e-100 2:0.563876 3:0.181872 4:0.5 5:0.230769 6:1 7:0.0666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.258621 14:0 
0 1:1 2:0.303681 3:0.107497 4:0 5:0.461538 6:0.428571 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.0862069 14:0 
0 1:1 2:0.251173 3:0.0297501 4:0.5 5:0.769231 6:1 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.237069 14:0.00251 
0 1:1 2:0.10231 3:0.287584 4:0.5 5:0.461538 6:0.428571 7:0.00266667 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.107759 14:1e-05 
1 1:-1e-100 2:0.497654 3:0.0396668 4:0.5 5:0.153846 6:0.571429 7:0.15 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0.003 
0 1:-1e-100 2:0.175929 3:0.0595002 4:0.5 5:0.615385 6:0.428571 7:0.0583333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.172414 14:0 
1 1:1 2:0.323349 3:0.0329234 4:0.5 5:1 6:0.428571 7:0.089 8:1 9:1 10:0.347826 11:1 12:0.5 13:0.326509 14:0.0329 
1 1:-1e-100 2:0.0736196 3:0.436335 4:0.5 5:1 6:1 7:0.0666667 8:1 9:1 10:0.478261 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.03 
0 1:-1e-100 2:0.350415 3:0.0892503 4:0 5:0.923077 6:0.428571 7:0.233333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.215517 14:0.00141 
0 1:-1e-100 2:0.699206 3:0.277668 4:0.5 5:0.384615 6:1 7:0.2 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:-1e-100 2:0.210574 3:0.0446252 4:0.5 5:0.769231 6:0.428571 7:0.086 8:1 9:1 10:0.0869565 11:-1e-100 12:0.5 13:0.215517 14:0 
0 1:1 2:0.484121 3:0.0595002 4:0.5 5:0.153846 6:0.571429 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.323276 14:0 
0 1:1 2:0.183508 3:0.0232051 4:0 5:0.923077 6:1 7:0.00833333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.258621 14:1e-05 
1 1:1 2:0.76236 3:0.495835 4:0.5 5:0.230769 6:1 7:0.533333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.0258621 14:0.02028 
1 1:-1e-100 2:0.266149 3:0.120587 4:0 5:1 6:1 7:0.169333 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.075431 14:0 
1 1:1 2:0.330747 3:0.158667 4:0.5 5:0.461538 6:0.428571 7:0.166667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.387931 14:0 
0 1:1 2:0.133887 3:0.0347085 4:0 5:0.538462 6:1 7:0.0166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.301724 14:0.00204 
1 1:1 2:0.368459 3:0.363745 4:0.5 5:0.538462 6:0.428571 7:0.3 8:1 9:1 10:0.521739 11:1 12:0.5 13:-1.07759e-103 14:0.00221 
0 1:1 2:0.532299 3:1 4:0.5 5:0.769231 6:1 7:0.014 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.818966 14:0.0009 
1 1:-1e-100 2:0.442079 3:0.238001 4:0.5 5:0.230769 6:0.428571 7:0.0666667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0 
1 1:1 2:0.427102 3:0.0809203 4:0.5 5:0.615385 6:0.428571 7:0.00266667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.431034 14:0.058 
0 1:1 2:0.290148 3:0.0809203 4:0 5:1 6:1 7:0.00266667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.137931 14:1e-05 
0 1:1 2:0.425478 3:0.105712 4:0.5 5:0.923077 6:0.428571 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0.00501 
1 1:1 2:0.317214 3:0.773503 4:0.5 5:0.538462 6:0.428571 7:0.466667 8:1 9:1 10:0.695652 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.05 
0 1:1 2:0.402923 3:0.100754 4:0.5 5:0 6:0 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.01 
1 1:1 2:0.121797 3:0.0957953 4:0.5 5:0.538462 6:0.428571 7:0.133333 8:1 9:1 10:0.478261 11:1 12:0.5 13:0.215517 14:0.03 
0 1:1 2:0.603031 3:0.231456 4:0.5 5:0.615385 6:0.428571 7:0.366667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.501078 14:0.0015 
0 1:1 2:0.148863 3:0.310789 4:0 5:0.153846 6:0.571429 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.198276 14:0 
1 1:1 2:0.121797 3:0.396668 4:0 5:0.538462 6:0.428571 7:0.166667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.0431034 14:0 
1 1:1 2:0.381992 3:0.099167 4:0.5 5:0.615385 6:0.428571 7:-6.66667e-102 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.257543 14:0.002 
0 1:1 2:0.186395 3:0.0347085 4:0.5 5:0.461538 6:0.428571 7:0.00566667 8:-1e-100 9:1 10:0.173913 11:-1e-100 12:0.5 13:0.273707 14:0.0195 
1 1:1 2:0.425478 3:0.257834 4:0.5 5:0.461538 6:1 7:0.283333 8:1 9:1 10:0.521739 11:1 12:0.5 13:0.100216 14:0 
0 1:-1e-100 2:0.126308 3:0.378421 4:0.5 5:0.153846 6:0.428571 7:0.00266667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.215517 14:0.01 
1 1:1 2:0.413569 3:0.128917 4:0.5 5:0.769231 6:1 7:0.6 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.109914 14:0.00639 
1 1:1 2:0.159329 3:0.398255 4:0.5 5:1 6:0.428571 7:0.00266667 8:1 9:1 10:0.391304 11:-1e-100 12:0.5 13:0.0646552 14:0.00396 
1 1:-1e-100 2:0.23764 3:0.535502 4:0.5 5:0.769231 6:1 7:0.333333 8:1 9:1 10:0.0869565 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.05 
1 1:-1e-100 2:0.594009 3:0.0182467 4:0.5 5:0.923077 6:1 7:0.0276667 8:1 9:1 10:0.478261 11:1 12:0.5 13:0.474138 14:6e-05 
0 1:-1e-100 2:0.693252 3:-3.96668e-102 4:0 5:0 6:0 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:1 2:0.458679 3:0.099167 4:0 5:0.153846 6:1 7:0.666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0 13:0.215517 14:0 
1 1:1 2:0.458679 3:0.0644586 4:0.5 5:0.538462 6:0.428571 7:0.1 8:1 9:1 10:0.434783 11:-1e-100 12:0.5 13:0.200431 14:0.047 
0 1:-1e-100 2:0.251173 3:0.0809203 4:0.5 5:0.615385 6:0.428571 7:0.0166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.193966 14:0.0005 
1 1:1 2:0.0977986 3:0.376835 4:0.5 5:0.615385 6:0.428571 7:0.1 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.12931 14:0.02206 
1 1:1 2:0.464634 3:0.168584 4:0.5 5:0.538462 6:0.571429 7:0.433333 8:1 9:1 10:0.695652 11:-1e-100 12:0.5 13:0.126078 14:0.0121 
0 1:1 2:0.409058 3:0.0297501 4:0 5:0.0769231 6:0.428571 7:0.039 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.258621 14:3e-05 
1 1:1 2:0.224107 3:0.0099167 4:0.5 5:0.153846 6:0.571429 7:-6.66667e-102 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:-1.07759e-103 14:0 
0 1:1 2:0.46319 3:0.0678302 4:0 5:0.461538 6:0.428571 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.431034 14:0 
1 1:1 2:0.5083 3:0.0166601 4:0.5 5:0.538462 6:1 7:0.014 8:1 9:1 10:0.26087 11:-1e-100 12:0.5 13:0.237069 14:0.00948 
1 1:1 2:0.136774 3:0.297501 4:0.5 5:0.384615 6:0.428571 7:0.0943333 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.0862069 14:0.098 
0 1:-1e-100 2:0.114219 3:0.0495835 4:0.5 5:0.538462 6:0.428571 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:-1e-100 2:0.249549 3:0.119 4:0.5 5:0.461538 6:0.428571 7:0.186 8:-1e-100 9:1 10:0.0434783 11:1 12:0.5 13:0.301724 14:0.0001 
0 1:1 2:0.141285 3:0.0313368 4:0 5:0.923077 6:0.428571 7:0.0443333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.172414 14:0 
1 1:1 2:0.261638 3:0.203292 4:0.5 5:1 6:0.428571 7:0.316667 8:1 9:1 10:0.0869565 11:-1e-100 12:0.5 13:0.452586 14:7e-05 
0 1:1 2:0.23764 3:0.0892503 4:0.5 5:0.153846 6:0.571429 7:0.0333333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.689655 14:0.04 
1 1:-1e-100 2:0.0842656 3:0.366918 4:0.5 5:0.769231 6:0.428571 7:0.0806667 8:1 9:1 10:0.173913 11:-1e-100 12:0.5 13:0.0646552 14:0.0054 
1 1:-1e-100 2:0.171418 3:0.233042 4:0.5 5:0.769231 6:0.428571 7:0.211333 8:1 9:1 10:0.434783 11:-1e-100 12:0.5 13:0.12931 14:0.00245 
0 1:1 2:0.177373 3:0.0710036 4:0.5 5:0.538462 6:0.428571 7:0.036 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.146552 14:1e-05 
1 1:1 2:0.263082 3:0.198334 4:0.5 5:0.615385 6:0.428571 7:0.733333 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.075431 14:0 
0 1:1 2:0.215085 3:0.0876636 4:0 5:0.384615 6:0.428571 7:0.266667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.202586 14:0 
0 1:-1e-100 2:0.267593 3:0.0660452 4:0.5 5:0.769231 6:0.428571 7:0.161 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.474138 14:0 
0 1:1 2:0.165464 3:0.125545 4:0 5:0.538462 6:0.428571 7:0.011 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.172414 14:0.01058 
0 1:-1e-100 2:0.193973 3:0.0412535 4:0 5:0 6:0 7:0.0333333 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:0.193966 14:0.00147 
0 1:1 2:0.198484 3:0.0214201 4:0.5 5:0.461538 6:0.428571 7:0.0666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.12931 14:1e-05 
1 1:1 2:0.329304 3:0.0694169 4:0 5:0.692308 6:1 7:0.00266667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.423491 14:0 
0 1:1 2:0.619452 3:0.148751 4:0.5 5:0.153846 6:0.571429 7:0.0666667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.107759 14:2e-05 
1 1:-1e-100 2:0.264706 3:0.138834 4:0.5 5:0.615385 6:0.428571 7:0.0556667 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.301724 14:0 
0 1:1 2:0.210574 3:0.0214201 4:0.5 5:0.615385 6:0.428571 7:0.011 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.293103 14:0.00444 
0 1:1 2:0.0871527 3:0.408171 4:0.5 5:0 6:0 7:0.0276667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.0862069 14:0 
0 1:1 2:0.142909 3:0.0462118 4:0 5:0.230769 6:0.428571 7:0.166667 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.193966 14:0.0002 
0 1:1 2:0.195417 3:0.0495835 4:0.5 5:0.538462 6:0.428571 7:0.0166667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.118534 14:0 
0 1:1 2:0.0465536 3:0.162039 4:0.5 5:0.153846 6:1 7:0.0276667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.12931 14:0 
0 1:1 2:0.234572 3:0.0793336 4:0.5 5:0.0769231 6:0.428571 7:0.05 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.0862069 14:0 
1 1:1 2:0.621075 3:0.138834 4:0.5 5:0.384615 6:0.428571 7:0.233333 8:1 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.247845 14:0 
0 1:1 2:0.175929 3:0.109084 4:0.5 5:0 6:0 7:0.3 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.172414 14:0.00025 
1 1:-1e-100 2:0.4917 3:0.0809203 4:0 5:0.769231 6:1 7:0.00833333 8:1 9:1 10:1 11:1 12:0.5 13:0.490302 14:0.01236 
1 1:1 2:0.386503 3:0.996628 4:0.5 5:1 6:1 7:0.108333 8:1 9:1 10:0.0434783 11:1 12:0.5 13:0.554957 14:0.005 
0 1:1 2:0.18044 3:0.476002 4:0.5 5:0.538462 6:0.428571 7:0.139 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.0862069 14:0 
0 1:1 2:0.0887766 3:0.198334 4:0.5 5:0.769231 6:0.428571 7:0.025 8:1 9:1 10:0.0869565 11:-1e-100 12:0.5 13:-1.07759e-103 14:0.00038 
