1 1:1.000000 2:17.500000 3:22.000000 4:3.000000 5:1.000000 6:7.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:3.000000 13:450.000000 14:100001.000000
0 1:0.000000 2:45.330002 3:1.000000 4:2.000000 5:11.000000 6:4.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:263.000000 14:1.000000
0 1:0.000000 2:23.580000 3:0.585000 4:1.000000 5:1.000000 6:1.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:120.000000 14:88.000000
0 1:0.000000 2:17.920000 3:0.540000 4:2.000000 5:8.000000 6:4.000000 7:1.750000 8:0.000000 9:1.000000 10:1.000000 11:1.000000 12:2.000000 13:80.000000 14:6.000000
0 1:1.000000 2:33.000000 3:2.500000 4:1.000000 5:9.000000 6:4.000000 7:7.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:280.000000 14:1.000000
0 1:0.000000 2:22.670000 3:0.335000 4:2.000000 5:11.000000 6:4.000000 7:0.750000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:160.000000 14:1.000000
0 1:1.000000 2:34.669998 3:1.080000 4:2.000000 5:7.000000 6:4.000000 7:1.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:28.000000 14:1.000000
1 1:1.000000 2:29.670000 3:1.415000 4:2.000000 5:9.000000 6:8.000000 7:0.750000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:240.000000 14:101.000000
0 1:1.000000 2:31.830000 3:2.500000 4:2.000000 5:6.000000 6:4.000000 7:7.500000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:523.000000 14:1.000000
1 1:0.000000 2:20.670000 3:1.835000 4:2.000000 5:11.000000 6:4.000000 7:2.085000 8:1.000000 9:1.000000 10:5.000000 11:0.000000 12:2.000000 13:220.000000 14:2504.000000
0 1:1.000000 2:33.750000 3:2.750000 4:2.000000 5:3.000000 6:5.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:180.000000 14:1.000000
1 1:1.000000 2:22.080000 3:0.830000 4:2.000000 5:8.000000 6:8.000000 7:2.165000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:128.000000 14:1.000000
1 1:0.000000 2:35.419998 3:12.000000 4:2.000000 5:11.000000 6:8.000000 7:14.000000 8:1.000000 9:1.000000 10:8.000000 11:0.000000 12:2.000000 13:0.000000 14:6591.000000
1 1:1.000000 2:31.920000 3:4.460000 4:2.000000 5:13.000000 6:8.000000 7:6.040000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:311.000000 14:301.000000
0 1:0.000000 2:22.670000 3:0.790000 4:2.000000 5:3.000000 6:4.000000 7:0.085000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:144.000000 14:1.000000
0 1:1.000000 2:26.670000 3:14.585000 4:2.000000 5:3.000000 6:5.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:178.000000 14:1.000000
1 1:1.000000 2:44.000000 3:2.000000 4:2.000000 5:7.000000 6:4.000000 7:1.750000 8:1.000000 9:1.000000 10:2.000000 11:1.000000 12:2.000000 13:0.000000 14:16.000000
0 1:1.000000 2:30.170000 3:1.085000 4:1.000000 5:8.000000 6:4.000000 7:0.040000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:170.000000 14:180.000000
0 1:1.000000 2:37.750000 3:7.000000 4:2.000000 5:11.000000 6:8.000000 7:11.500000 8:1.000000 9:1.000000 10:7.000000 11:1.000000 12:2.000000 13:300.000000 14:6.000000
0 1:1.000000 2:17.080000 3:0.085000 4:1.000000 5:8.000000 6:4.000000 7:0.040000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:140.000000 14:723.000000
0 1:1.000000 2:49.169998 3:2.290000 4:2.000000 5:1.000000 6:1.000000 7:0.290000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:200.000000 14:4.000000
0 1:1.000000 2:22.920000 3:0.170000 4:2.000000 5:7.000000 6:4.000000 7:0.085000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:0.000000 14:1.000000
0 1:0.000000 2:34.830002 3:1.250000 4:1.000000 5:3.000000 6:8.000000 7:0.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:160.000000 14:1.000000
0 1:1.000000 2:44.250000 3:11.000000 4:1.000000 5:2.000000 6:4.000000 7:1.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:0.000000 14:1.000000
1 1:1.000000 2:59.500000 3:2.750000 4:2.000000 5:9.000000 6:4.000000 7:1.750000 8:1.000000 9:1.000000 10:5.000000 11:1.000000 12:2.000000 13:60.000000 14:59.000000
1 1:1.000000 2:25.500000 3:0.375000 4:2.000000 5:7.000000 6:4.000000 7:0.250000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:260.000000 14:15109.000000
0 1:0.000000 2:41.580002 3:1.040000 4:2.000000 5:6.000000 6:4.000000 7:0.665000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:240.000000 14:238.000000
0 1:1.000000 2:49.580002 3:19.000000 4:2.000000 5:1.000000 6:1.000000 7:0.000000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:94.000000 14:1.000000
0 1:0.000000 2:33.919998 3:1.585000 4:1.000000 5:1.000000 6:1.000000 7:0.000000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:320.000000 14:1.000000
0 1:1.000000 2:19.170000 3:4.000000 4:1.000000 5:3.000000 6:4.000000 7:1.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:360.000000 14:1001.000000
0 1:0.000000 2:24.500000 3:2.415000 4:1.000000 5:8.000000 6:4.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:120.000000 14:1.000000
1 1:1.000000 2:23.330000 3:1.500000 4:2.000000 5:8.000000 6:8.000000 7:1.415000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:422.000000 14:201.000000
0 1:1.000000 2:69.169998 3:9.000000 4:2.000000 5:1.000000 6:1.000000 7:4.000000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:70.000000 14:7.000000
1 1:1.000000 2:47.669998 3:0.290000 4:2.000000 5:8.000000 6:5.000000 7:15.000000 8:1.000000 9:1.000000 10:20.000000 11:0.000000 12:2.000000 13:0.000000 14:15001.000000
0 1:0.000000 2:33.250000 3:2.500000 4:1.000000 5:8.000000 6:4.000000 7:2.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:3.000000
1 1:1.000000 2:43.250000 3:3.000000 4:2.000000 5:11.000000 6:8.000000 7:6.000000 8:1.000000 9:1.000000 10:11.000000 11:0.000000 12:2.000000 13:80.000000 14:1.000000
0 1:1.000000 2:23.000000 3:0.625000 4:1.000000 5:6.000000 6:4.000000 7:0.125000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:180.000000 14:2.000000
0 1:1.000000 2:34.750000 3:2.500000 4:2.000000 5:13.000000 6:5.000000 7:0.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:348.000000 14:1.000000
1 1:1.000000 2:56.580002 3:18.500000 4:2.000000 5:2.000000 6:5.000000 7:15.000000 8:1.000000 9:1.000000 10:17.000000 11:1.000000 12:2.000000 13:0.000000 14:1.000000
1 1:0.000000 2:44.169998 3:6.665000 4:2.000000 5:11.000000 6:4.000000 7:7.375000 8:1.000000 9:1.000000 10:3.000000 11:1.000000 12:2.000000 13:0.000000 14:1.000000
1 1:0.000000 2:44.330002 3:0.000000 4:2.000000 5:8.000000 6:4.000000 7:2.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:1.000000 2:34.250000 3:1.750000 4:2.000000 5:9.000000 6:5.000000 7:0.250000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:163.000000 14:1.000000
0 1:0.000000 2:45.000000 3:4.585000 4:2.000000 5:4.000000 6:8.000000 7:1.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:240.000000 14:1.000000
0 1:1.000000 2:30.580000 3:2.710000 4:1.000000 5:7.000000 6:4.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:80.000000 14:1.000000
0 1:1.000000 2:27.670000 3:0.750000 4:2.000000 5:11.000000 6:8.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:220.000000 14:252.000000
0 1:1.000000 2:19.420000 3:7.250000 4:2.000000 5:7.000000 6:4.000000 7:0.040000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:100.000000 14:2.000000
1 1:0.000000 2:41.330002 3:1.000000 4:2.000000 5:3.000000 6:5.000000 7:2.250000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:301.000000
0 1:0.000000 2:23.500000 3:1.500000 4:2.000000 5:9.000000 6:4.000000 7:0.875000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:160.000000 14:1.000000
1 1:1.000000 2:31.670000 3:0.830000 4:2.000000 5:14.000000 6:4.000000 7:1.335000 8:1.000000 9:1.000000 10:8.000000 11:1.000000 12:2.000000 13:303.000000 14:3291.000000
1 1:0.000000 2:17.830000 3:11.000000 4:2.000000 5:14.000000 6:8.000000 7:1.000000 8:1.000000 9:1.000000 10:11.000000 11:0.000000 12:2.000000 13:0.000000 14:3001.000000
0 1:0.000000 2:33.169998 3:2.250000 4:1.000000 5:13.000000 6:4.000000 7:3.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:200.000000 14:142.000000
0 1:0.000000 2:52.500000 3:7.000000 4:2.000000 5:6.000000 6:8.000000 7:3.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:0.000000 2:25.420000 3:1.125000 4:2.000000 5:11.000000 6:4.000000 7:1.290000 8:1.000000 9:1.000000 10:2.000000 11:0.000000 12:2.000000 13:200.000000 14:1.000000
0 1:1.000000 2:40.580002 3:1.500000 4:2.000000 5:3.000000 6:5.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:300.000000 14:1.000000
0 1:1.000000 2:23.920000 3:0.585000 4:1.000000 5:13.000000 6:8.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:240.000000 14:2.000000
1 1:1.000000 2:56.000000 3:12.500000 4:2.000000 5:4.000000 6:8.000000 7:8.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:24.000000 14:2029.000000
1 1:0.000000 2:28.500000 3:3.040000 4:1.000000 5:14.000000 6:8.000000 7:2.540000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:70.000000 14:1.000000
1 1:1.000000 2:32.080002 3:4.000000 4:2.000000 5:7.000000 6:4.000000 7:2.500000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:360.000000 14:1.000000
0 1:1.000000 2:21.170000 3:0.875000 4:1.000000 5:8.000000 6:8.000000 7:0.250000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:280.000000 14:205.000000
1 1:1.000000 2:34.169998 3:9.170000 4:2.000000 5:8.000000 6:4.000000 7:4.500000 8:1.000000 9:1.000000 10:12.000000 11:1.000000 12:2.000000 13:0.000000 14:222.000000
0 1:1.000000 2:43.250000 3:25.209999 4:2.000000 5:11.000000 6:8.000000 7:0.210000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:760.000000 14:91.000000
1 1:0.000000 2:38.250000 3:6.000000 4:2.000000 5:4.000000 6:4.000000 7:1.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:1.000000
1 1:1.000000 2:37.419998 3:2.040000 4:2.000000 5:9.000000 6:4.000000 7:0.040000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:400.000000 14:5801.000000
0 1:1.000000 2:29.830000 3:2.040000 4:1.000000 5:14.000000 6:8.000000 7:0.040000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:128.000000 14:2.000000
0 1:1.000000 2:37.330002 3:2.665000 4:2.000000 5:13.000000 6:4.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:502.000000
1 1:1.000000 2:31.330000 3:19.500000 4:2.000000 5:8.000000 6:4.000000 7:7.000000 8:1.000000 9:1.000000 10:16.000000 11:0.000000 12:2.000000 13:0.000000 14:5001.000000
0 1:1.000000 2:36.080002 3:2.540000 4:2.000000 5:1.000000 6:1.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1001.000000
1 1:1.000000 2:20.500000 3:2.415000 4:2.000000 5:8.000000 6:4.000000 7:2.000000 8:1.000000 9:1.000000 10:11.000000 11:1.000000 12:2.000000 13:200.000000 14:3001.000000
0 1:1.000000 2:47.169998 3:5.835000 4:2.000000 5:9.000000 6:4.000000 7:5.500000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:465.000000 14:151.000000
0 1:1.000000 2:22.000000 3:7.835000 4:1.000000 5:3.000000 6:5.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:184.000000 14:1.000000
1 1:1.000000 2:20.500000 3:10.000000 4:1.000000 5:8.000000 6:4.000000 7:2.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:40.000000 14:1.000000
1 1:1.000000 2:34.919998 3:2.500000 4:2.000000 5:9.000000 6:4.000000 7:0.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:239.000000 14:201.000000
0 1:1.000000 2:24.080000 3:0.875000 4:2.000000 5:7.000000 6:4.000000 7:0.085000 8:0.000000 9:1.000000 10:4.000000 11:0.000000 12:2.000000 13:254.000000 14:1951.000000
1 1:1.000000 2:37.330002 3:6.500000 4:2.000000 5:7.000000 6:8.000000 7:4.250000 8:1.000000 9:1.000000 10:12.000000 11:1.000000 12:2.000000 13:93.000000 14:1.000000
0 1:0.000000 2:20.750000 3:9.540000 4:2.000000 5:3.000000 6:4.000000 7:0.040000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:200.000000 14:1001.000000
1 1:1.000000 2:36.669998 3:3.250000 4:2.000000 5:11.000000 6:8.000000 7:9.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:102.000000 14:640.000000
1 1:1.000000 2:22.580000 3:10.040000 4:2.000000 5:14.000000 6:4.000000 7:0.040000 8:1.000000 9:1.000000 10:9.000000 11:0.000000 12:2.000000 13:60.000000 14:397.000000
1 1:0.000000 2:26.920000 3:13.500000 4:2.000000 5:11.000000 6:8.000000 7:5.000000 8:1.000000 9:1.000000 10:2.000000 11:0.000000 12:2.000000 13:0.000000 14:5001.000000
1 1:0.000000 2:46.669998 3:0.460000 4:2.000000 5:13.000000 6:8.000000 7:0.415000 8:1.000000 9:1.000000 10:11.000000 11:1.000000 12:2.000000 13:440.000000 14:7.000000
0 1:0.000000 2:52.169998 3:0.000000 4:1.000000 5:1.000000 6:1.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:1.000000 2:39.169998 3:2.500000 4:1.000000 5:3.000000 6:8.000000 7:10.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:1.000000 13:200.000000 14:1.000000
1 1:1.000000 2:39.169998 3:1.625000 4:2.000000 5:8.000000 6:4.000000 7:1.500000 8:1.000000 9:1.000000 10:10.000000 11:0.000000 12:2.000000 13:186.000000 14:4701.000000
0 1:0.000000 2:27.670000 3:2.040000 4:2.000000 5:9.000000 6:4.000000 7:0.250000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:180.000000 14:51.000000
1 1:1.000000 2:19.170000 3:9.500000 4:2.000000 5:9.000000 6:4.000000 7:1.500000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:120.000000 14:2207.000000
1 1:1.000000 2:39.500000 3:4.250000 4:2.000000 5:8.000000 6:5.000000 7:6.500000 8:1.000000 9:1.000000 10:16.000000 11:0.000000 12:2.000000 13:117.000000 14:1211.000000
0 1:1.000000 2:36.419998 3:0.750000 4:1.000000 5:2.000000 6:4.000000 7:0.585000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:240.000000 14:4.000000
1 1:1.000000 2:26.170000 3:0.250000 4:2.000000 5:3.000000 6:5.000000 7:0.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:0.000000 14:1.000000
0 1:1.000000 2:39.419998 3:1.710000 4:1.000000 5:7.000000 6:4.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:400.000000 14:1.000000
1 1:1.000000 2:41.919998 3:0.420000 4:2.000000 5:8.000000 6:8.000000 7:0.210000 8:1.000000 9:1.000000 10:6.000000 11:0.000000 12:2.000000 13:220.000000 14:949.000000
1 1:1.000000 2:21.330000 3:7.500000 4:2.000000 5:6.000000 6:4.000000 7:1.415000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:80.000000 14:9801.000000
0 1:0.000000 2:20.080000 3:1.250000 4:2.000000 5:8.000000 6:4.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:0.000000 2:27.580000 3:3.000000 4:2.000000 5:7.000000 6:4.000000 7:2.790000 8:0.000000 9:1.000000 10:1.000000 11:1.000000 12:2.000000 13:280.000000 14:11.000000
0 1:1.000000 2:21.580000 3:0.790000 4:1.000000 5:13.000000 6:4.000000 7:0.665000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:160.000000 14:1.000000
1 1:1.000000 2:28.250000 3:5.125000 4:2.000000 5:14.000000 6:4.000000 7:4.750000 8:1.000000 9:1.000000 10:2.000000 11:0.000000 12:2.000000 13:420.000000 14:8.000000
0 1:1.000000 2:26.920000 3:2.250000 4:2.000000 5:3.000000 6:5.000000 7:0.500000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:640.000000 14:4001.000000
1 1:0.000000 2:18.420000 3:9.250000 4:2.000000 5:11.000000 6:4.000000 7:1.210000 8:1.000000 9:1.000000 10:4.000000 11:0.000000 12:2.000000 13:60.000000 14:541.000000
1 1:0.000000 2:23.250000 3:5.875000 4:2.000000 5:11.000000 6:4.000000 7:3.170000 8:1.000000 9:1.000000 10:10.000000 11:0.000000 12:2.000000 13:120.000000 14:246.000000
0 1:1.000000 2:23.580000 3:1.790000 4:2.000000 5:8.000000 6:4.000000 7:0.540000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:136.000000 14:2.000000
1 1:1.000000 2:28.330000 3:5.000000 4:2.000000 5:9.000000 6:4.000000 7:11.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:70.000000 14:1.000000
0 1:1.000000 2:25.670000 3:2.210000 4:1.000000 5:6.000000 6:4.000000 7:4.000000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:188.000000 14:1.000000
0 1:0.000000 2:28.580000 3:1.665000 4:2.000000 5:11.000000 6:4.000000 7:2.415000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:440.000000 14:1.000000
0 1:1.000000 2:22.920000 3:3.165000 4:1.000000 5:8.000000 6:4.000000 7:0.165000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:160.000000 14:1059.000000
0 1:0.000000 2:24.500000 3:1.040000 4:1.000000 5:1.000000 6:1.000000 7:0.500000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:180.000000 14:148.000000
0 1:1.000000 2:24.750000 3:0.540000 4:2.000000 5:7.000000 6:4.000000 7:1.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:120.000000 14:2.000000
1 1:1.000000 2:32.000000 3:1.750000 4:1.000000 5:10.000000 6:8.000000 7:0.040000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:393.000000 14:1.000000
0 1:1.000000 2:48.080002 3:3.750000 4:2.000000 5:3.000000 6:5.000000 7:1.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:100.000000 14:3.000000
1 1:0.000000 2:28.420000 3:3.500000 4:2.000000 5:9.000000 6:4.000000 7:0.835000 8:1.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:280.000000 14:1.000000
0 1:1.000000 2:25.420000 3:0.540000 4:2.000000 5:9.000000 6:4.000000 7:0.165000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:272.000000 14:445.000000
0 1:1.000000 2:18.580000 3:10.290000 4:2.000000 5:1.000000 6:1.000000 7:0.415000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:80.000000 14:1.000000
0 1:1.000000 2:21.670000 3:1.165000 4:1.000000 5:4.000000 6:4.000000 7:2.500000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:180.000000 14:21.000000
0 1:1.000000 2:24.580000 3:1.250000 4:2.000000 5:8.000000 6:4.000000 7:0.250000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:110.000000 14:1.000000
0 1:1.000000 2:16.330000 3:4.085000 4:2.000000 5:3.000000 6:8.000000 7:0.415000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:120.000000 14:1.000000
